"","method","datalength","featureset","seconds","cor","corll","corul","rmse"
"131","lm","max","du",5,0.431675602228878,0.274315817200018,0.566520274756884,20.3541465153659
"132","lm","same","du",5,0.38836015042892,0.2254951551741,0.530109025902402,19.5622969017352
"133","lm","max","rms",5,0.16527717471267,-0.0136212011451069,0.33392252330629,22.1150329289716
"134","lm","same","rms",5,0.201505936833995,0.0238678883647181,0.366809039976034,20.7246593662579
"135","lm","max","hudgins",5,0.377405552903754,0.213276518390584,0.52081694739906,20.8826070374967
"136","lm","same","hudgins",5,0.320469986724633,0.150587477927622,0.471968601485799,20.12195066971
"137","knn","max","all",5,0.67177030062629,0.56048020433019,0.759228726286881,16.62029699558
"138","knn","same","all",5,0.610112011360093,0.484364127387564,0.711161057030648,17.1025033207046
"139","knn","max","du",5,0.67177030062629,0.56048020433019,0.759228726286881,16.62029699558
"140","knn","same","du",5,0.610112011360093,0.484364127387564,0.711161057030648,17.1025033207046
"141","knn","max","rms",5,0.547614531696637,0.409107113880278,0.661455570618494,18.9125202042358
"142","knn","same","rms",5,0.537042123439421,0.396559884601238,0.652947048679446,18.213143721611
"143","knn","max","hudgins",5,0.396928190321293,0.235087693847097,0.537353091157873,20.7777679566669
"144","knn","same","hudgins",5,0.452644847119258,0.298245196009506,0.583960016419038,18.9626961027529
"145","svmPoly","max","all",5,0.451637538430849,0.297091235098897,0.583125018368678,20.1499615803628
"146","svmPoly","same","all",5,0.445905327861642,0.290533065323804,0.578368067364054,19.4238286511399
"147","svmPoly","max","du",5,0.428945287643648,0.271214349719085,0.5642405987362,20.3918244318552
"148","svmPoly","same","du",5,0.419151480092816,0.260116075368525,0.556046251581998,19.7150043912357
"149","svmPoly","max","rms",5,0.327863829267665,0.158652019695973,0.478365205908907,21.5626190687773
"150","svmPoly","same","rms",5,0.389856250364277,0.227167874455988,0.531375434137037,20.184467781479
"151","svmPoly","max","hudgins",5,0.338762545653535,0.170580676320274,0.487764936389076,21.4113609469991
"152","svmPoly","same","hudgins",5,0.384928249327051,0.221661731452504,0.527201623149614,20.2602887923734
"153","ranger","max","all",5,0.696625500591256,0.591704619522036,0.77833925407694,16.5188224267581
"154","ranger","same","all",5,0.641723006835618,0.523150977256607,0.735922995232796,16.1363332374305
"155","ranger","max","du",5,0.683337113623587,0.57497179173735,0.768140954410121,16.8310351567834
"156","ranger","same","du",5,0.596617392695948,0.467955363036729,0.700513359640989,16.9581940669468
"157","ranger","max","rms",5,0.633650140038404,0.513198604343332,0.729623121004772,17.5439760086813
"158","ranger","same","rms",5,0.626547827795617,0.504469451815586,0.724067141703267,16.3984965425858
"159","ranger","max","hudgins",5,0.61996225981254,0.496397644258796,0.718904066993118,17.9382588837624
"160","ranger","same","hudgins",5,0.563195790408853,0.427694770725964,0.673941951590822,17.4776837402399
"161","lm","max","all",6,0.459612950230544,0.306240151922846,0.58972855358454,19.3282738589979
"162","lm","same","all",6,0.356307485732118,0.189887748829785,0.502824551427273,22.1268864718752
"163","lm","max","du",6,0.372013541612499,0.207281125121874,0.516230737802853,20.1073958693733
"164","lm","same","du",6,0.347835236886755,0.180548488784442,0.49556352566306,22.2301457976003
"165","lm","max","rms",6,0.132300787897918,-0.0473130521133559,0.303627095011167,21.4859526119521
"166","lm","same","rms",6,0.156482387042929,-0.0226467020712325,0.325876673432638,23.4357730509555
"167","lm","max","hudgins",6,0.346769526324944,0.179375850280748,0.494648708567384,20.3579737287442
"168","lm","same","hudgins",6,0.33119133343887,0.162288745421127,0.48123871427599,22.4084458921938
"169","knn","max","all",6,0.678073518691552,0.568368807498551,0.764089425421649,15.9062646840277
"170","knn","same","all",6,0.690945157083638,0.584540812134887,0.773985090300507,17.1237112683935
"171","knn","max","du",6,0.678073518691552,0.568368807498551,0.764089425421649,15.9062646840277
"172","knn","same","du",6,0.700717670468314,0.596875779307634,0.781471168926319,16.9403276421695
"173","knn","max","rms",6,0.616533985011927,0.492204111448441,0.716211977142531,17.098664012538
"174","knn","same","rms",6,0.64427297559401,0.526301359186281,0.737909546484933,18.1357051600673
"175","knn","max","hudgins",6,0.303543189712083,0.132209981116625,0.457264487948023,21.2101982052822
"176","knn","same","hudgins",6,0.524805825124528,0.382103200639546,0.643062793706217,20.3103760770244
"177","svmPoly","max","all",6,0.528498380345751,0.386458456907476,0.646049728068976,18.9409876028112
"178","svmPoly","same","all",6,0.405616644704316,0.244847346286951,0.54467786455831,22.1989255181083
"179","svmPoly","max","du",6,0.51022047219554,0.364961970797156,0.631229318107422,19.1587197316986
"180","svmPoly","same","du",6,0.369340567748397,0.204313618101624,0.513954152368712,22.518814610966
"181","svmPoly","max","rms",6,0.493783870355976,0.345762389333132,0.617826014905038,19.6725876549128
"182","svmPoly","same","rms",6,0.28127028939716,0.108206340847054,0.437787368347624,23.5660938091748
"183","svmPoly","max","hudgins",6,0.49104540734734,0.342575593171749,0.615585895313516,19.5860420987479
"184","svmPoly","same","hudgins",6,0.271363832015656,0.097594536314156,0.429076947515986,23.6717759695871
"185","ranger","max","all",6,0.686219755200523,0.578593950614214,0.770356925985708,15.790497165074
"186","ranger","same","all",6,0.697147729897204,0.592364065697611,0.778739165286181,17.2632264384212
"187","ranger","max","du",6,0.663869977659588,0.550621229656501,0.75312261735024,16.1807314695906
"188","ranger","same","du",6,0.711881779699726,0.611027560147406,0.789994900571642,16.8682920702757
"189","ranger","max","rms",6,0.675255820039115,0.564839906770914,0.761917775824808,15.9903902525869
"190","ranger","same","rms",6,0.647889621147607,0.530775138002889,0.740724311648113,18.128585013246
"191","ranger","max","hudgins",6,0.593718423645793,0.464441902873086,0.698219925870672,17.3936597742196
"192","ranger","same","hudgins",6,0.689246768225329,0.582402093278101,0.772681694457594,17.402105663047
"193","lm","max","all",7,0.341148725951904,0.173198947848218,0.489818326588533,21.580758981474
"194","lm","same","all",7,0.325192409901121,0.155735667064593,0.476055933164738,22.3904998357526
"195","lm","max","du",7,0.266966165121988,0.0928963818364295,0.425200800641063,22.1727588981394
"196","lm","same","du",7,0.28388070509822,0.111009201059818,0.440077739891393,22.7122182123823
"197","lm","max","rms",7,0.125687913456755,-0.0540205614126889,0.29750985387532,22.9415750629855
"198","lm","same","rms",7,0.158723901624858,-0.0203491551618038,0.327929639955892,23.386315312767
"199","lm","max","hudgins",7,0.222574270588645,0.0459013415120043,0.385745616436656,22.5342415850502
"200","lm","same","hudgins",7,0.274135676527461,0.100559762385627,0.431517097842117,22.7763025975652
"201","knn","max","all",7,0.54588003261651,0.407045029663612,0.660061677300144,19.474024891414
"202","knn","same","all",7,0.676150405219431,0.565959852611919,0.762607459444478,17.5129137712812
"203","knn","max","du",7,0.54588003261651,0.407045029663612,0.660061677300144,19.474024891414
"204","knn","same","du",7,0.682563232912714,0.57400010120428,0.767545703377723,17.3234149061262
"205","knn","max","rms",7,0.543979399616237,0.404787058571344,0.658533370633819,19.4289924601925
"206","knn","same","rms",7,0.618597862078496,0.494727995105246,0.717833014374834,18.6203676115918
"207","knn","max","hudgins",7,0.387105351717656,0.224092963499841,0.529046384807631,21.4008249046939
"208","knn","same","hudgins",7,0.489773708836303,0.341096856690666,0.614544934765882,20.679303876471
"209","svmPoly","max","all",7,0.49375136387744,0.345724540951853,0.617799435734046,20.4209488270933
"210","svmPoly","same","all",7,0.444030007460167,0.288390692629768,0.576809849764725,21.4037820648674
"211","svmPoly","max","du",7,0.461041199065149,0.307881550519166,0.590909290641664,20.7781155579693
"212","svmPoly","same","du",7,0.396718426498462,0.234852471043689,0.537175988142711,21.9686261976141
"213","svmPoly","max","rms",7,0.398972644025153,0.237381275564653,0.539078569394763,22.0380955591268
"214","svmPoly","same","rms",7,0.385447986322889,0.222241952121286,0.527642142745982,22.2306948658401
"215","svmPoly","max","hudgins",7,0.40025115442503,0.238816495737706,0.540157009385616,21.7627522914814
"216","svmPoly","same","hudgins",7,0.340676216715187,0.172680291552086,0.489411847072041,22.6376267089813
"217","ranger","max","all",7,0.60937786282418,0.483469158983887,0.710582979683457,18.1560062788313
"218","ranger","same","all",7,0.716491360393698,0.616889593344579,0.793505502853537,16.7909432205411
"219","ranger","max","du",7,0.579333450289899,0.447067753351091,0.686807859834973,18.7049773844298
"220","ranger","same","du",7,0.690439655100376,0.583904097417553,0.773597226071175,17.2422438024872
"221","ranger","max","rms",7,0.561608775101574,0.425796285364093,0.672673049701076,18.9967058896122
"222","ranger","same","rms",7,0.658212862207016,0.543580957920542,0.748740800657182,17.9389495775957
"223","ranger","max","hudgins",7,0.523690787472417,0.380789292693798,0.642160123922546,19.6192094135354
"224","ranger","same","hudgins",7,0.677572577680421,0.567741131182699,0.763703483861518,17.5067172059328
