"","method","datalength","featureset","seconds","ntraindata","ntestdata","cor","corll","corul","rmse"
"146","svmPoly","same","all",5,173,19,0.877954755095712,0.70480371180994,0.952378937534402,10.7252704965589
"147","svmPoly","max","du",5,173,19,0.780511340520094,0.505514932764228,0.911558876828589,16.0748567765481
"148","svmPoly","same","du",5,173,19,0.881772056916027,0.713209724555626,0.953925529354499,10.461978580357
"149","svmPoly","max","rms",5,173,19,0.78456172407792,0.513252726301735,0.913308690417613,16.1818844839265
"150","svmPoly","same","rms",5,173,19,0.897604492262241,0.748599404648288,0.960299420693024,10.0312554356336
"151","svmPoly","max","hudgins",5,173,19,0.787592539280133,0.519071746606791,0.914614936692349,15.7271688150106
"152","svmPoly","same","hudgins",5,173,19,0.882153274388152,0.714051867969596,0.954079770527291,10.4026420717344
"153","ranger","max","all",5,173,19,0.759202918814248,0.465523297038598,0.90227454389547,15.7477904887178
"154","ranger","same","all",5,173,19,0.866843136069049,0.680608682779217,0.947855127227604,11.0582781679529
"155","ranger","max","du",5,173,19,0.71297116227483,0.382692199333938,0.881664025636164,16.9725609537297
"156","ranger","same","du",5,173,19,0.868089568553687,0.683302653175262,0.948364211008879,11.0016910037312
"157","ranger","max","rms",5,173,19,0.792032270198493,0.52764099342247,0.916523634349025,14.9993095564995
"158","ranger","same","rms",5,173,19,0.873671760640339,0.695429736053842,0.95063909820796,10.8193324476219
"159","ranger","max","hudgins",5,173,19,0.743695200195149,0.437153382790429,0.895433186037368,16.105359078462
"160","ranger","same","hudgins",5,173,19,0.881559512760271,0.712740406741391,0.95383951710263,10.4296632148308
"161","lm","max","all",6,173,19,0.742906787540576,0.435727168889861,0.895083446364324,15.5712127162134
"162","lm","same","all",6,173,19,0.861759956174041,0.669674079094804,0.945774700613085,12.1897320001715
"163","lm","max","du",6,173,19,0.76714617686596,0.480292302063509,0.905751096957419,14.9867264848023
"164","lm","same","du",6,173,19,0.863191094617375,0.672744250238736,0.946361130055876,12.1217210715522
"165","lm","max","rms",6,173,19,0.743542985466003,0.436877910950552,0.895365678204153,16.1833263644826
"166","lm","same","rms",6,173,19,0.874320936333571,0.696846664598492,0.950903118093771,11.518740923462
"167","lm","max","hudgins",6,173,19,0.811324523940632,0.565513117073141,0.924752294497214,14.0168490664491
"168","lm","same","hudgins",6,173,19,0.847063862089353,0.638522419256235,0.939720910558428,12.5838499605896
"169","knn","max","all",6,173,19,0.779645603314271,0.503866758945807,0.911184251378748,14.5168504631143
"170","knn","same","all",6,173,19,0.917164563825295,0.793526065066449,0.96808463833287,9.66981195049287
"171","knn","max","du",6,173,19,0.745558285118629,0.440529782539626,0.896258906537288,15.3590049579239
"172","knn","same","du",6,173,19,0.917164563825295,0.793526065066449,0.96808463833287,9.66981195049287
"173","knn","max","rms",6,173,19,0.756279716661714,0.460129011201149,0.900990435800635,15.0971297548775
"174","knn","same","rms",6,173,19,0.921401282161925,0.803438077139955,0.969758070109731,9.3921579830701
"175","knn","max","hudgins",6,173,19,0.763219258888089,0.472970544434839,0.904034717517358,14.9142813931374
"176","knn","same","hudgins",6,173,19,0.893097153847371,0.738437113179607,0.958491477043945,11.0705869192578
"177","svmPoly","max","all",6,173,19,0.746132003372403,0.44157125158661,0.896512968658512,15.8258679944065
"178","svmPoly","same","all",6,173,19,0.904876069471936,0.765142895705812,0.963205072039928,10.008388103466
"179","svmPoly","max","du",6,173,19,0.730966219671981,0.414314008933823,0.889763622189603,16.4398810887344
"180","svmPoly","same","du",6,173,19,0.901812568466022,0.758150591730167,0.961982586776584,10.1532393243135
"181","svmPoly","max","rms",6,173,19,0.772166110873489,0.489710574699713,0.907938611298863,15.44238079613
"182","svmPoly","same","rms",6,173,19,0.901232287700347,0.756829838070247,0.96175075472075,10.3059082482089
"183","svmPoly","max","hudgins",6,173,19,0.745021321582442,0.439555777480936,0.896021031036971,16.1575296361751
"184","svmPoly","same","hudgins",6,173,19,0.894882206575184,0.742453327121833,0.959208111050942,10.4031377442169
"185","ranger","max","all",6,173,19,0.725995213455335,0.405501611217988,0.887536120147859,16.0695640163677
"186","ranger","same","all",6,173,19,0.900099506786095,0.754254954600591,0.961297939490574,10.5602349972413
"187","ranger","max","du",6,173,19,0.64664790220518,0.272465367750824,0.850928125694187,18.1843847626415
"188","ranger","same","du",6,173,19,0.904111917570884,0.763395662359755,0.962900364183385,10.3799184448311
"189","ranger","max","rms",6,173,19,0.785602828368525,0.515248788082867,0.913757693186641,14.4907516345741
"190","ranger","same","rms",6,173,19,0.870222220231087,0.687923747396156,0.949234297522215,11.8942109327795
"191","ranger","max","hudgins",6,173,19,0.648633525391102,0.275628686701128,0.851869085403785,18.0885627781643
"192","ranger","same","hudgins",6,173,19,0.917161674637709,0.793519327979785,0.968083495601557,9.80691555203155
"193","lm","max","all",7,173,19,0.767607497036761,0.481155067850802,0.905952433032625,15.1702267320198
"194","lm","same","all",7,173,19,0.882527528116234,0.714879101350867,0.954231157067008,9.41583537928273
"195","lm","max","du",7,173,19,0.772424528586823,0.490197202052154,0.908051020978267,15.0147690790062
"196","lm","same","du",7,173,19,0.884092994838169,0.718344431913866,0.954863994089727,9.22766767523354
"197","lm","max","rms",7,173,19,0.739318874316681,0.429256169990645,0.893489480476311,15.7582178376958
"198","lm","same","rms",7,173,19,0.80966078730559,0.562205716162627,0.924046820765878,11.5714620634916
"199","lm","max","hudgins",7,173,19,0.763535315004681,0.473558352973255,0.904173027720229,14.9551293028508
"200","lm","same","hudgins",7,173,19,0.868533719411035,0.684263833722084,0.948545516850415,9.63666379078909
"201","knn","max","all",7,173,19,0.888751070481029,0.728704466952763,0.956743220434759,10.3481501016518
"202","knn","same","all",7,173,19,0.889239347293546,0.729794702865957,0.956939879941321,8.92329889434926
"203","knn","max","du",7,173,19,0.888751070481029,0.728704466952763,0.956743220434759,10.3481501016518
"204","knn","same","du",7,173,19,0.889239347293546,0.729794702865957,0.956939879941321,8.92329889434926
"205","knn","max","rms",7,173,19,0.848733620236912,0.642027765941185,0.940411674526444,11.9306085334537
"206","knn","same","rms",7,173,19,0.947026243735189,0.864815875426614,0.979783503580184,6.25459830844475
"207","knn","max","hudgins",7,173,19,0.803548683157898,0.550122826604161,0.921448401120521,13.3626344707921
"208","knn","same","hudgins",7,173,19,0.745099351427594,0.439697272222561,0.896055603737014,13.336550811221
"209","svmPoly","max","all",7,173,19,0.797872055355364,0.53899506333383,0.919025629388981,13.997242048445
"210","svmPoly","same","all",7,173,19,0.928414662453231,0.819991209373427,0.972518279575524,7.23596271281557
"211","svmPoly","max","du",7,173,19,0.798678301718498,0.540570042951329,0.919370292070644,14.4363150467163
"212","svmPoly","same","du",7,173,19,0.905984376901792,0.767680703015553,0.963646746656293,8.24696198629325
"213","svmPoly","max","rms",7,173,19,0.765303733514537,0.476852072073259,0.904946366594035,15.1472944546969
"214","svmPoly","same","rms",7,173,19,0.924576593191672,0.810909991191565,0.971009290417132,7.51667661963162
"215","svmPoly","max","hudgins",7,173,19,0.800114061988257,0.54337924701323,0.919983607554401,14.1935049455003
"216","svmPoly","same","hudgins",7,173,19,0.890485773632486,0.732581434920251,0.957441611883399,8.90406322123631
"217","ranger","max","all",7,173,19,0.767613377229785,0.481166068631901,0.905954998948398,14.5979987301312
"218","ranger","same","all",7,173,19,0.941692556098865,0.851834693024259,0.977710238188035,6.82597599506936
"219","ranger","max","du",7,173,19,0.802731287722077,0.548514939229445,0.921100102870548,13.5218334148043
"220","ranger","same","du",7,173,19,0.93070290051771,0.82543148534304,0.973416171942515,7.45345066869321
"221","ranger","max","rms",7,173,19,0.751375559622411,0.451128044912239,0.898830420939369,15.011901890987
"222","ranger","same","rms",7,173,19,0.93052793195928,0.825014806762511,0.973347561539612,7.28879497899674
"223","ranger","max","hudgins",7,173,19,0.814263349310752,0.571374693378494,0.925996541958566,13.0984449973609
"224","ranger","same","hudgins",7,173,19,0.922412439378484,0.805813434344522,0.970156789124954,7.91405377923254
